gene	family	n_cys	n_reactive	n_vicinal_pairs	n_vicinal_triads	vicinal_score	status
METTL3	writer	14	1	1	0	1.25	ok
METTL14	writer	14	1	1	0	1.25	ok
WTAP	writer	4	0	0	0	0.0	ok
VIRMA	writer	29	10	5	0	7.5	ok
ZC3H13	writer	12	9	2	0	4.25	ok
RBM15	writer	4	3	0	0	0.75	ok
RBM15B	writer	42	36	4	0	13.0	ok
CBLL1	writer	11	3	1	0	1.75	ok
METTL16	writer	8	4	0	0	1.0	ok
FTO	eraser	13	4	1	0	2.0	ok
ALKBH5	eraser	10	2	0	0	0.5	ok
YTHDF1	reader	3	1	0	0	0.25	ok
YTHDF2	reader	2	0	0	0	0.0	ok
YTHDF3	reader	2	0	0	0	0.0	ok
YTHDC1	reader	3	0	0	0	0.0	ok
YTHDC2	reader	0	0	0	0	0.0	ok
IGF2BP1	reader	4	0	0	0	0.0	ok
IGF2BP2	reader	0	0	0	0	0.0	ok
IGF2BP3	reader	6	1	0	0	0.25	ok
HNRNPA2B1	reader	1	0	0	0	0.0	ok
HNRNPC	reader	1	0	0	0	0.0	ok
PIN1	control_pos	2	1	0	0	0.25	ok
TXN1	control_pos	5	3	1	0	1.75	ok
GAPDH	control_pos	12	4	0	0	1.0	ok
SH3_SRC	control_neg	9	2	0	0	0.5	ok
