gene	family	subfamily	n_cys	n_reactive	n_vicinal_pairs	vicinal_score	best_vina_dG	best_covalent_score	best_binding_mode	min_func_proximity_A	composite_score	inference_tier
TXN1	control_pos	-	5	3	1	1.75	-3.482	4.000	bidentate	0.00	8.708	likely_inhibitory
GAPDH	control_pos	-	12	4	0	1.0	-4.265	2.000	monodentate	0.00	7.516	likely_inhibitory
PIN1	control_pos	-	2	1	0	0.25	-3.477	2.000	monodentate	0.00	7.132	likely_inhibitory
METTL3	writer	core_MTase	14	1	1	1.25	-2.467	2.000	monodentate	3.45	5.404	likely_inhibitory
VIRMA	writer	scaffold	29	10	5	7.5	-2.814	2.000	bidentate	NA	3.154	binding_only
FTO	eraser	aKG_Fe_dioxygenase	13	4	1	2.0	-3.303	3.000	bidentate	9.18	3.126	possibly_allosteric
ZC3H13	writer	scaffold	12	9	2	4.25	-2.564	2.000	bidentate	NA	2.904	binding_only
CBLL1	writer	E3_like	11	3	1	1.75	-2.955	2.500	bidentate	8.68	2.676	possibly_allosteric
RBM15B	writer	RNA_recruiter	42	36	4	13.0	-2.974	0.000	monodentate	NA	1.994	binding_only
METTL14	writer	core_MTase	14	1	1	1.25	-2.474	0.000	monodentate	34.90	0.931	binding_only
METTL16	writer	standalone_MTase	8	4	0	1.0	NA	1.000	monodentate	9.21	0.85	possibly_allosteric
ALKBH5	eraser	aKG_Fe_dioxygenase	10	2	0	0.5	NA	1.000	monodentate	9.40	0.725	possibly_allosteric
RBM15	writer	RNA_recruiter	4	3	0	0.75	NA	0.000	monodentate	NA	0.188	binding_only
SH3_SRC	control_neg	-	9	2	0	0.5	NA	0.000	monodentate	NA	0.125	binding_only
YTHDF1	reader	YTH	3	1	0	0.25	NA	0.000	monodentate	18.66	0.062	binding_only
IGF2BP3	reader	KH	6	1	0	0.25	NA	0.000	monodentate	34.55	0.062	binding_only
WTAP	writer	adapter	4	0	0	0.0	NA	NA	NA	NA	0.0	no_binding
YTHDF2	reader	YTH	2	0	0	0.0	NA	NA	NA	NA	0.0	no_binding
YTHDF3	reader	YTH	2	0	0	0.0	NA	NA	NA	NA	0.0	no_binding
YTHDC1	reader	YTH	3	0	0	0.0	NA	NA	NA	NA	0.0	no_binding
YTHDC2	reader	YTH	0	0	0	0.0	NA	NA	NA	NA	0.0	no_binding
IGF2BP1	reader	KH	4	0	0	0.0	NA	NA	NA	NA	0.0	no_binding
IGF2BP2	reader	KH	0	0	0	0.0	NA	NA	NA	NA	0.0	no_binding
HNRNPA2B1	reader	hnRNP	1	0	0	0.0	NA	NA	NA	NA	0.0	no_binding
HNRNPC	reader	hnRNP	1	0	0	0.0	NA	NA	NA	NA	0.0	no_binding
